"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 19 23:22:33 IST 2022","Fri Aug 19 23:22:35 IST 2022","1330","","","","","","/pet/findByStatus",""
"passed","Fri Aug 19 23:22:40 IST 2022","Fri Aug 19 23:22:41 IST 2022","1015","","","","","","/store/inventory",""
